Date/Time,avg,max,min
2023-08-09 00:00:00,19.31,27.27,11.03
2023-08-08 00:00:00,18.3,24.51,13.55
2023-08-07 00:00:00,18.97,25.72,13.55
2023-08-06 00:00:00,19.23,26.45,16.05
2023-08-05 00:00:00,23.44,32.9,17.53
2023-08-04 00:00:00,28.55,37.65,20.23
2023-08-03 00:00:00,26.31,35.36,17.56
2023-08-02 00:00:00,21.77,27.28,17.54
2023-08-01 00:00:00,22.43,30.89,13.55
2023-07-31 00:00:00,22.92,29.21,18
2023-07-30 00:00:00,23.69,32.78,17.36
2023-07-29 00:00:00,23.81,32.5,15.53
2023-07-28 00:00:00,21.11,30.88,11.81
2023-07-27 00:00:00,19.03,24.97,13.61
2023-07-26 00:00:00,21.34,24.19,17.91
2023-07-25 00:00:00,27.25,35.3,21.39
2023-07-24 00:00:00,26.28,35.66,18.76
2023-07-23 00:00:00,23.12,29.52,16.58
2023-07-22 00:00:00,23.36,29.37,19.11
2023-07-21 00:00:00,26.38,34.89,18.26
2023-07-20 00:00:00,24.05,31.19,18.05
2023-07-19 00:00:00,27.61,35.71,20.14
2023-07-18 00:00:00,28.71,35.14,22.22
2023-07-17 00:00:00,29.99,38.2,21.5
2023-07-16 00:00:00,28.71,36.36,19.99
2023-07-15 00:00:00,26.07,33.97,16.82
2023-07-14 00:00:00,24.3,30.31,18.63
2023-07-13 00:00:00,29.22,37.58,20.84
2023-07-12 00:00:00,28.12,36.18,18.9
2023-07-11 00:00:00,26.89,35.17,17.96
2023-07-10 00:00:00,24.66,33.06,15.15
2023-07-09 00:00:00,23.52,31.15,14.33
2023-07-08 00:00:00,22.54,29.21,14.81
2023-07-07 00:00:00,23.06,27.16,19.29
2023-07-06 00:00:00,25.25,31.44,19.07
2023-07-05 00:00:00,25.19,32.1,18.47
2023-07-04 00:00:00,24.35,33.24,16.57
2023-07-03 00:00:00,23.69,30.21,16.99
2023-07-02 00:00:00,21.58,27.71,16.23
2023-07-01 00:00:00,22.84,30.98,15.48
2023-06-30 00:00:00,21.92,29.83,12.95
2023-06-29 00:00:00,20,26.36,11.18
2023-06-28 00:00:00,17.71,22.21,14.77
2023-06-27 00:00:00,23.64,30.84,15.61
2023-06-26 00:00:00,23.42,30.31,16.78
2023-06-25 00:00:00,22.55,26.87,19.12
2023-06-24 00:00:00,21.66,25.82,18.62
2023-06-23 00:00:00,27.15,35.06,19.68
2023-06-22 00:00:00,26.15,33.32,19.73
2023-06-21 00:00:00,26.06,33.72,17.92
2023-06-20 00:00:00,24.24,33.19,16.07
2023-06-19 00:00:00,22.85,30.95,13.6
2023-06-18 00:00:00,20.69,27.71,13.23
2023-06-17 00:00:00,17.71,21.75,15.38
2023-06-16 00:00:00,17.12,19.48,15.2
2023-06-15 00:00:00,19.03,23.12,16.8
2023-06-14 00:00:00,19.27,26.78,12.16
2023-06-13 00:00:00,18.71,24.83,13.7
2023-06-12 00:00:00,17.82,20.38,16.47
2023-06-11 00:00:00,20.85,26.51,15.73
2023-06-10 00:00:00,20.61,28.25,14.53
2023-06-09 00:00:00,21.78,27.42,16.53
2023-06-08 00:00:00,20.5,26.48,13.79
2023-06-07 00:00:00,20.36,26.13,15.58
2023-06-06 00:00:00,18.18,22.31,15.91
2023-06-05 00:00:00,19.5,27.61,12.55
2023-06-04 00:00:00,18.46,23.09,13.9
2023-06-03 00:00:00,20.52,25.97,16.36
2023-06-02 00:00:00,20.74,27.58,15.76
2023-06-01 00:00:00,19.91,27.34,15.11
2023-05-31 00:00:00,19.46,26.66,14.97
2023-05-30 00:00:00,19.67,27.61,14.35
2023-05-29 00:00:00,18.55,25.58,14.49
2023-05-28 00:00:00,17.99,24.24,15.01
2023-05-27 00:00:00,17.35,25.73,13.62
2023-05-26 00:00:00,19.89,28.11,14.63
2023-05-25 00:00:00,19.25,25.41,14.73
2023-05-24 00:00:00,18.89,24.56,13.85
2023-05-23 00:00:00,20.1,28.41,11.27
2023-05-22 00:00:00,18.67,28.26,11.41
2023-05-21 00:00:00,20.18,27.9,13.95
2023-05-20 00:00:00,18.82,27.09,10.19
2023-05-19 00:00:00,15.36,21.24,12.16
2023-05-18 00:00:00,12.64,14.5,10.7
2023-05-17 00:00:00,18.09,24.97,12.38
2023-05-16 00:00:00,17.28,22.42,14.78
2023-05-15 00:00:00,15.34,18.37,14.13
2023-05-14 00:00:00,14.41,18.57,10.83
2023-05-13 00:00:00,15.43,22.49,8.43
2023-05-12 00:00:00,12.16,15.24,9.65
2023-05-11 00:00:00,14.1,17.85,11.89
2023-05-10 00:00:00,14.32,19.6,9.65
2023-05-09 00:00:00,11.95,17.66,6.8
2023-05-08 00:00:00,13.97,18.52,8.93
2023-05-07 00:00:00,18.79,27.79,9.96
2023-05-06 00:00:00,17.52,25.86,9.44
2023-05-05 00:00:00,15.8,25.24,7.61
2023-05-04 00:00:00,13.55,16.83,10.11
2023-05-03 00:00:00,14.76,18.43,11.43
2023-05-02 00:00:00,18.02,24.41,12.7
2023-05-01 00:00:00,16.06,24.56,7.45
2023-04-30 00:00:00,14.92,21.16,9.33
2023-04-29 00:00:00,13.81,21.09,8.68
2023-04-28 00:00:00,10.59,18.22,1.81
2023-04-27 00:00:00,8.78,15.36,2.41
2023-04-26 00:00:00,10.03,16.02,5.53
2023-04-25 00:00:00,12.8,17.5,8.11
2023-04-24 00:00:00,14,17.29,11.14
2023-04-23 00:00:00,15.54,24.18,8.43
2023-04-22 00:00:00,14.11,22.58,6.12
2023-04-21 00:00:00,13.32,20.32,6.57
2023-04-20 00:00:00,13.26,19.73,6.65
2023-04-19 00:00:00,12.36,16.94,8.4
2023-04-18 00:00:00,11.67,15.17,9.18
2023-04-17 00:00:00,12.58,15.79,9.48
2023-04-16 00:00:00,13.07,21.19,5.35
2023-04-15 00:00:00,11.47,19.7,3.42
2023-04-14 00:00:00,12.12,15.8,4.98
2023-04-13 00:00:00,12.31,22.16,2.96
2023-04-12 00:00:00,11.2,16.6,5.45
2023-04-11 00:00:00,10.75,16.22,5.68
2023-04-10 00:00:00,9.03,16.13,4.72
2023-04-09 00:00:00,7.2,13.69,0.26
2023-04-08 00:00:00,6.51,10.42,3.67
2023-04-07 00:00:00,3.43,4.99,2.23
